Target gene (OFFICIAL_GENE_NAME)	TF (OFFICIAL_TF_CODING_GENE_NAME)	REFERENCES	SPECIES	ACCESSION #S
BIRC3	FOXO1	Pubmed	Mus musculus;	;15632117;
BIRC5	FOXO1	Pubmed	Mus musculus;	;15632117;
BMP4	FOXO1	Pubmed	Mus musculus;	;16100571;
BMPER	FOXO1	Pubmed	Mus musculus;	;17254969
C10ORF10	FOXO1	Pubmed	Mus musculus;	;16100571;
CA2	FOXO1	Pubmed	Mus musculus	16492665
CAR2	FOXO1	Pubmed	Mus musculus;	;16492665;
CASP14	FOXO1	Pubmed	Mus musculus;	;15632117;
CASP2	FOXO1	Pubmed	Mus musculus;	;15632117;
CASP3	FOXO1	Pubmed	Mus musculus;	;15565601;
CASP6	FOXO1	Pubmed	Mus musculus;	;15632117;
CASP8	FOXO1	Pubmed	Mus musculus;	;15632117;15565601;
CCNB1	FOXO1	Pubmed	Homo sapiens	;17609436;
CCNB2	FOXO1	Pubmed	Homo sapiens	;17609436;
CCND1	FOXO1	Pubmed	Homo sapiens; Mus musculus	;12391153;
CCND2	FOXO1	Pubmed	Homo sapiens; Mus musculus	;12391153;
CCNG2	FOXO1	Pubmed	Homo sapiens; Mus musculus	;14966295;16493026;12351634;
CCRN4L	FOXO1	Pubmed	Mus musculus;	;17254969
CD40	FOXO1	Pubmed	Mus musculus;	;15632117;20338229;
CD70	FOXO1	Pubmed	Mus musculus;	;15632117;
CDK1	FOXO1	Pubmed	Homo sapiens	;17609436;
CDKN1A	FOXO1	Pubmed	Homo sapiens	;17609436;
CDKN1B	FOXO1	Pubmed	Homo sapiens; Mus musculus	;12391153;12359217;17015685;11094066;
CDKN1C	FOXO1	Pubmed	Homo sapiens	;17609436;
CDKN2B	FOXO1	Pubmed	Homo sapiens; Mus musculus	;17873901;
CDKN2D	FOXO1	Pubmed	Homo sapiens; Mus musculus	;17873901;
CFLAR	FOXO1	Pubmed	Mus musculus;	;15632117;
CITED2	FOXO1	Pubmed	Homo sapiens; Mus musculus	;17254969;12351634;
CLDN5	FOXO1	pazar;	Mus musculus;	pazar_pleiades_20100814;
CNOT8	FOXO1	Pubmed	Homo sapiens	;12351634;
CNR1	FOXO1	Pubmed	Homo sapiens	;16690806;
COL13A1	FOXO1	Pubmed	Mus musculus;	;16100571;
COL4A2	FOXO1	Pubmed	Mus musculus;	;20338229;
CTGF	FOXO1	Pubmed	Mus musculus;	;17254969
CTSE	FOXO1	Pubmed	Mus musculus;	;16492665;
CXCR4	FOXO1	Pubmed	Mus musculus;	;16100571;
DAAM1	FOXO1	Pubmed	Homo sapiens	;12351634;
DAPK1	FOXO1	Pubmed	Homo sapiens	;12351634;
DCN	FOXO1	Pubmed	Homo sapiens	;16690806;
DKK1	FOXO1	Pubmed	Mus musculus;	;16100571;
DUSP4	FOXO1	Pubmed	Homo sapiens	;12351634;
EIF4G1	FOXO1	Pubmed	Homo sapiens	;18301748
ELK3	FOXO1	Pubmed	Mus musculus;	;16100571;
ELOVL5	FOXO1	Pubmed	Mus musculus;	;16492665;
ELOVL6	FOXO1	Pubmed	Mus musculus;	;16492665;
FABP2	FOXO1	Pubmed	Mus musculus;	;16492665;
FAM115A	FOXO1	Pubmed	Homo sapiens	;12351634;
FASLG	FOXO1	Pubmed	Mus musculus;	;15632117;16006742;
FBN1	FOXO1	Pubmed	Mus musculus;	;17254969
FOXO1	FOXO1	Pubmed	Homo sapiens	;19244250;
G6PC	FOXO1	Pubmed	Mus musculus;	;15047713;12507516;10960473;11467835;1169658;16492665;16804074;
GADD45A	FOXO1	Pubmed	Mus musculus;	;15632117;
GCK	FOXO1	Pubmed	Mus musculus;	;16492665;
GNB2L1	FOXO1	Pubmed	Mus musculus;	;20338229;
GPAM	FOXO1	Pubmed	Mus musculus;	;16492665;
GPD2	FOXO1	Pubmed	Mus musculus;	;16492665;
HAL	FOXO1	Pubmed	Mus musculus;	;16492665;
HMGCR	FOXO1	Pubmed	Mus musculus;	;16100571;
HOXA5	FOXO1	Pubmed	Mus musculus;	;16100571;
HPD	FOXO1	Pubmed	Mus musculus;	;16492665;
HUS1	FOXO1	Pubmed	Mus musculus;	;15632117;
ID1	FOXO1	Pubmed	Mus musculus;	;16100571;
ID2	FOXO1	Pubmed	Mus musculus;	;16100571;
IGFBP1	FOXO1	Pubmed	Homo sapiens	;17609436;
IL18	FOXO1	Pubmed	Mus musculus;	;15632117;
IL8	FOXO1	Pubmed	Mus musculus;	;16100571;
IRS2	FOXO1	Pubmed	Mus musculus;	;16906224;
JUN	FOXO1	Pubmed	Mus musculus;	;15632117;
KDR	FOXO1	Pubmed	Mus musculus;	;16100571;
KITLG	FOXO1	Pubmed	Mus musculus;	;19896444;
KLF2	FOXO1	Pubmed	Homo sapiens	;18713968;
KLF4	FOXO1	Pubmed	Mus musculus;	;18375530;
KRT19	FOXO1	Pubmed	Homo sapiens	;12351634;
LEFTY2	FOXO1	Pubmed	Homo sapiens	;17609436;
LPIN2	FOXO1	Pubmed	Mus musculus;	;16492665;
LPL	FOXO1	Pubmed	Mus musculus;	;12586369;16492665;
LTBR	FOXO1	Pubmed	Mus musculus;	;15632117;
MCM5	FOXO1	Pubmed	Homo sapiens	;17609436;
ME1	FOXO1	Pubmed	Mus musculus;	;16492665;
MKL1	FOXO1	Pubmed	Mus musculus;	;20338229;
MMP10	FOXO1	Pubmed	Mus musculus;	;16100571;
MRC1	FOXO1	Pubmed	Mus musculus;	;17254969
MSTN	FOXO1	Pubmed	Mus musculus;	;16885393;
NEK2	FOXO1	Pubmed	Homo sapiens	;17609436;
NOS3	FOXO1	Pubmed	Mus musculus;	;16100571;
NPC1	FOXO1	Pubmed	Mus musculus;	;16492665;
NPY	FOXO1	Pubmed	Homo sapiens; Mus musculus	;16783365;
OSTN	FOXO1	Pubmed	Homo sapiens; Mus musculus	;17950246;
PBX1	FOXO1	Pubmed	Mus musculus;	;17254969
PCK1	FOXO1	Pubmed	Mus musculus;	;16804074;16492665;
PDGFB	FOXO1	Pubmed	Mus musculus;	;16100571;
PDK4	FOXO1	Pubmed	Homo sapiens; Mus musculus	;15047604;17079227;12820900;
PHLPP1	FOXO1	Pubmed	Mus musculus;	;20338229;
PIGQ	FOXO1	Pubmed	Mus musculus;	;16492665;
PKLR	FOXO1	Pubmed	Mus musculus;	;16492665;
PLSCR1	FOXO1	Pubmed	Mus musculus;	;16492665
PPARGC1A	FOXO1	Pubmed	Homo sapiens; Mus musculus	;17390079;
PRDX4	FOXO1	Pubmed	Homo sapiens	;18301748
PRG4	FOXO1	Pubmed	Homo sapiens	;18301748
PRL	FOXO1	Pubmed	Homo sapiens	;17609436;
PSMB6	FOXO1	Pubmed	Mus musculus;	;16492665;
PSMB8	FOXO1	Pubmed	Mus musculus;	;16492665;
PVRL3	FOXO1	Pubmed	Homo sapiens	;12351634;
RARS	FOXO1	Pubmed	Homo sapiens	;18301748
RBL2	FOXO1	Pubmed	Mus musculus;	;16493026;
RELA	FOXO1	Pubmed	Mus musculus;	;15632117;
RPIA	FOXO1	Pubmed	Mus musculus;	;16492665;
RPS6KA3	FOXO1	Pubmed	Homo sapiens	;12351634;
RUNX2	FOXO1	Pubmed	Mus musculus;	;20650891;
SCARB1	FOXO1	Pubmed	Mus musculus;	;16492665;
SCD	FOXO1	Pubmed	Mus musculus;	;16492665;
SDPR	FOXO1	Pubmed	Mus musculus;	;17254969
SEMA3F	FOXO1	Pubmed	Mus musculus;	;16100571;
SFRP1	FOXO1	Pubmed	Mus musculus;	;19896444;
SFRP2	FOXO1	Pubmed	Mus musculus;	;19896444;
SLC16A1	FOXO1	Pubmed	Homo sapiens	;12351634;
SMAD4	FOXO1	Pubmed	Homo sapiens	;12351634;
SOST	FOXO1	Pubmed	Mus musculus;	;19896444;
SPRY2	FOXO1	Pubmed	Mus musculus;	;17254969
SQLE	FOXO1	Pubmed	Mus musculus;	;16492665;
SREBF1	FOXO1	Pubmed	Mus musculus	;16492665;20868688
STAB1	FOXO1	Pubmed	Mus musculus;	;16100571;
TAF11	FOXO1	Pubmed	Homo sapiens	;18301748
TCF4	FOXO1	Pubmed	Mus musculus;	;17254969
TDO2	FOXO1	Pubmed	Mus musculus;	;16492665;
TIMP3	FOXO1	Pubmed	Homo sapiens	;16690806;
TKT	FOXO1	Pubmed	Mus musculus;	;16492665;
TLE4	FOXO1	Pubmed	Homo sapiens	;12351634;
TMEFF2	FOXO1	Pubmed	Mus musculus;	;19896444;
TMEM47	FOXO1	Pubmed	Homo sapiens	;12351634;
TNFSF10	FOXO1	Pubmed	Homo sapiens	;15632117;12351634;
TP53	FOXO1	Pubmed	Mus musculus;	;15632117;
TRADD	FOXO1	Pubmed	Mus musculus;	;15632117;
TRAF1	FOXO1	Pubmed	Mus musculus;	;15632117;
TRAF2	FOXO1	Pubmed	Mus musculus;	;15632117;
TRAF6	FOXO1	Pubmed	Mus musculus;	;15632117;
TSC22D1	FOXO1	Pubmed	Mus musculus;	;17254969
TSPAN7	FOXO1	Pubmed	Mus musculus;	;19896444;
TXNIP	FOXO1	Pubmed	Homo sapiens	;18301748
VASP	FOXO1	Pubmed	Mus musculus;	;16100571;
WNT16	FOXO1	Pubmed	Homo sapiens	;17609436;
WNT4	FOXO1	Pubmed	Homo sapiens	;17609436;
ANGPT2	FOXO3	Pubmed	Mus musculus;	;16100571;
ASPM	FOXO3	Pubmed	Mus musculus;	;19896444;
ATP8A1	FOXO3	Pubmed	Homo sapiens	;12351634;
BBC3	FOXO3	Pubmed	Mus musculus;	;16801400;
BCL2L11	FOXO3	Pubmed	Homo sapiens	;15674333
BMP4	FOXO3	Pubmed	Mus musculus;	;16100571;
BNIP3L	FOXO3	Pubmed	Homo sapiens	;12351634;
BTG1	FOXO3	Pubmed	Mus musculus;	;14734530
C10ORF10	FOXO3	Pubmed	Homo sapiens	;16100571;12351634;
CBLB	FOXO3	Pubmed	Homo sapiens	;12351634;
CCND1	FOXO3	Pubmed	Homo sapiens; Mus musculus	;12391153;
CCND2	FOXO3	Pubmed	Homo sapiens; Mus musculus	;12391153;
CCNG2	FOXO3	Pubmed	Homo sapiens; Mus musculus	;14966295;16493026;1235163414966295;
CD55	FOXO3	Pubmed	Homo sapiens	;12351634;
CDKN2B	FOXO3	Pubmed	Homo sapiens; Mus musculus	;17873901;
CDKN2D	FOXO3	Pubmed	Homo sapiens; Mus musculus	;17873901;
CITED2	FOXO3	Pubmed	Homo sapiens; Mus musculus	;18158893;17353275
COL13A1	FOXO3	Pubmed	Mus musculus;	;16100571;
CXCR4	FOXO3	Pubmed	Mus musculus;	;16100571;
DAAM1	FOXO3	Pubmed	Homo sapiens	;12351634;
DAB2	FOXO3	Pubmed	Homo sapiens	18239069
DKK1	FOXO3	Pubmed	Mus musculus;	;16100571;
DST	FOXO3	Pubmed	Homo sapiens	;12351634;
ELK3	FOXO3	Pubmed	Mus musculus;	;16100571;
ESR1	FOXO3	Pazar	Homo sapiens	
FOXO1	FOXO3	Pubmed	Homo sapiens	;19244250;
FOXO4	FOXO3	Pubmed	Homo sapiens	;19244250;
FXYD3	FOXO3	Pubmed	Homo sapiens	;12351634;
G6PC	FOXO3	pazar	Mus musculus	
GADD45A	FOXO3	Pubmed	Homo sapiens; Rattus norvegicus; Mus musculus	;11964479;12048180;
GBP2	FOXO3	Pubmed	Homo sapiens	18239069
GCC2	FOXO3	Pubmed	Homo sapiens	18239069
GRB14	FOXO3	Pubmed	Homo sapiens	;12351634;
GTF2I	FOXO3	Pubmed	Homo sapiens	;12351634;
HAND2	FOXO3	Pubmed	Homo sapiens	18239069
HBP1	FOXO3	Pubmed	Homo sapiens	;12351634;
HMGCR	FOXO3	Pubmed	Mus musculus;	;16100571;
HOXA5	FOXO3	Pubmed	Mus musculus;	;16100571;
HPGD	FOXO3	Pubmed	Homo sapiens	;12351634;
ID1	FOXO3	Pubmed	Mus musculus;	;16100571;
ID2	FOXO3	Pubmed	Mus musculus;	;16100571;
IL8	FOXO3	Pubmed	Mus musculus;	;16100571;
JAK1	FOXO3	Pubmed	Homo sapiens	;12351634;
KDR	FOXO3	Pubmed	Mus musculus;	;16100571;
KITLG	FOXO3	Pubmed	Mus musculus;	;19896444;
KLF4	FOXO3	Pubmed	Mus musculus;	;18375530;
MMP10	FOXO3	Pubmed	Mus musculus;	;16100571;
MMP1	FOXO3	Pubmed	Homo sapiens	18239069
MYOD1	FOXO3	Pubmed	Mus musculus;	;18854138;
NOS3	FOXO3	Pubmed	Mus musculus;	;16100571;
OGT	FOXO3	Pubmed	Homo sapiens	;12351634;
PDGFB	FOXO3	Pubmed	Mus musculus;	;16100571;
PHLDA1	FOXO3	Pubmed	Homo sapiens	18239069
PIK3CA	FOXO3	Pubmed	Mus musculus;	;18644865;
PINK1	FOXO3	Pubmed	Homo sapiens; Mus musculus	;0;19276113
PLAU	FOXO3	Pubmed	Homo sapiens	;18239069;
PNRC1	FOXO3	Pubmed	Homo sapiens	;12351634;
PPARGC1A	FOXO3	Pubmed	Homo sapiens; Mus musculus	;17390079;
RBL2	FOXO3	Pubmed	Mus musculus;	;16493026;11884591;
SAT1	FOXO3	Pubmed	Homo sapiens	;12351634
SATB1	FOXO3	Pubmed	Homo sapiens	;12351634;
SCG5	FOXO3	Pubmed	Homo sapiens	18239069
SEMA3F	FOXO3	Pubmed	Mus musculus;	;16100571;
SFRP1	FOXO3	Pubmed	Mus musculus;	;19896444;
SFRP2	FOXO3	Pubmed	Mus musculus;	;19896444;
SIRT2	FOXO3	Pubmed	Mus musculus;	;19896444;
SMAD4	FOXO3	Pubmed	Homo sapiens	;12351634;
SOD2	FOXO3	Pubmed	Homo sapiens	;15674333
SOST	FOXO3	Pubmed	Mus musculus;	;19896444;
STAB1	FOXO3	Pubmed	Mus musculus;	;16100571;
TLE4	FOXO3	Pubmed	Homo sapiens	;12351634;
TMEFF2	FOXO3	Pubmed	Mus musculus;	;19896444;
TNFAIP8	FOXO3	Pubmed	Homo sapiens	;12351634;
TNFSF10	FOXO3	Pubmed	Homo sapiens	;12351634
TSPAN7	FOXO3	Pubmed	Mus musculus;	;19896444;
TSPAN9	FOXO3	Pubmed	Homo sapiens	18239069
VASP	FOXO3	Pubmed	Mus musculus;	;16100571;
ZNF385D	FOXO3	Pubmed	Homo sapiens	18239069
ANXA8	FOXO4	Pubmed	Homo sapiens; Mus musculus	;19376120
BCL2L11	FOXO4	pazar	Homo sapiens	
BCL6	FOXO4	Pubmed	Mus musculus;	;11777915
CCNG2	FOXO4	Pubmed	Mus musculus;	;014966295;
FBXO32	FOXO4	Pubmed	Mus musculus;	;18701653;
GADD45A	FOXO4	Pubmed	Mus musculus;	;12048180;
IGFBP1	FOXO4	pazar	Mus musculus	
PPARGC1A	FOXO4	Pubmed	Homo sapiens; Mus musculus	;17390079;
RBL2	FOXO4	Pubmed	Homo sapiens; Mus musculus	;11884591
CSF1R	FOXP1	pazar	Homo sapiens	
IL2	FOXP1	pazar	Homo sapiens	
ACHE	GABPA	trrd	Rattus norvegicus	S7390;
ATP5B	GABPA	pazar;	Homo sapiens	;
AURKA	GABPA	pazar;	Homo sapiens	;
CD79A	GABPA	pazar;	Mus musculus;	Pazar_rare;
CHRNE	GABPA	pazar;	Mus musculus;	Pazar_Hnf4;
COX4I1	GABPA	pazar;	Mus musculus;	Pazar_Hnf4;
DLD	GABPA	pazar;	Mus musculus;	Pazar_oreganno;
ELANE	GABPA	pazar;	Mus musculus;	Pazar_Stat_lit;
IL2RB	GABPA	pazar;	Homo sapiens	pazar_pleiades_20100814;
ITGB2	GABPA	pazar;	Homo sapiens	pazar_pleiades_20100814;
POLA1	GABPA	Pubmed	Mus musculus; Homo sapiens	;11004506
PSMB5	GABPA	trrd	Mus musculus	S2748
TSHR	GABPA	trrd	Homo sapiens	S4649;
UTRN	GABPA	pazar;	Homo sapiens	pazar_pleiades;
ALAS2	GATA1	trrd	Homo sapiens; Mus musculus	S3086; 5343
BACE1	GATA1	Pubmed	Rattus norvegicus	;12815710
BTG2	GATA1	pazar	Mus musculus;	;
CPA3	GATA1	pazar	Mus musculus;	Pazar_rare;
CPOX	GATA1	pazar	Homo sapiens	;
CTSE	GATA1	Pubmed	Homo sapiens	;11322887
EPB42	GATA1	pazar	Mus musculus;	Pazar_tfe;
EPO	GATA1	pazar	Mus musculus;	Pazar_oreganno
EPOR	GATA1	pazar	Mus musculus;	Pazar_oreganno
F13A1	GATA1	pazar	Homo sapiens	pazar_pleiades_20100814;
GATA1	GATA1	TRRD	Mus musculus;	S5549;
GATA2	GATA1	pazar	Mus musculus	
HEBP1	GATA1	pazar	Mus musculus;	
HIPK2	GATA1	pazar	Mus musculus;	
HIST1H1C	GATA1	pazar	Mus musculus;	
HOXB2	GATA1	pazar	Homo sapiens	pazar_pleiades_20100814;
INHA	GATA1	TRRD	Rattus norvegicus	S4794;
INHBB	GATA1	TRRD	Rattus norvegicus	S7510;
KLF1	GATA1	pazar	Mus musculus;	Pazar_oreganno
MAFK	GATA1	pazar	Mus musculus;	Pazar_rare;
PRG2	GATA1	pazar	Homo sapiens	pazar_pleiades;
RHAG	GATA1	pazar	Homo sapiens	pazar_pleiades;
TAC2	GATA1	pazar	Mus musculus;	
TAL1	GATA1	TRDD	Homo sapiens	S2095;
VAV2	GATA1	pazar	Mus musculus;	
ZFPM1	GATA1	pazar	Mus musculus	
CACNA1S	GATA2	pazar	Mus musculus;	Pazar_ares;
CPA3	GATA2	pazar	Mus musculus;	Pazar_rare;
EPO	GATA2	pazar	Homo sapiens	pazar_pleiades_20100814;
GATA1	GATA2	pazar	Mus musculus;	Pazar_oreganno
GNRHR	GATA2	pazar	Homo sapiens	pazar_pleiades_20100814;
HSD17B1	GATA2	pazar	Homo sapiens	pazar_pleiades_20100814;
MAFK	GATA2	pazar	Mus musculus;	Pazar_rare;
PPARG	GATA2	pazar	Mus musculus;	Pazar_tfe;
RAG1	GATA2	pazar	Mus musculus;	Pazar_tfe;
TAC2	GATA2	pazar	Mus musculus	
TAL1	GATA2	pazar	Homo sapiens	pazar_pleiades;
VWF	GATA2	pazar	Homo sapiens	pazar_pleiades;
WT1	GATA2	pazar	Homo sapiens	pazar_pleiades;
DBH	GATA3	Pazar	Homo sapiens	pazar_pleiades_20100814
GATA1	GATA3	pazar	Mus musculus;	Pazar_oreganno
GNRHR	GATA3	pazar	Homo sapiens	pazar_pleiades_20100814;
HSD17B1	GATA3	pazar	Homo sapiens	pazar_pleiades_20100814;
IL13	GATA3	pazar	Homo sapiens	
IL5	GATA3	pazar	Homo sapiens	
PPARG	GATA3	pazar	Mus musculus;	Pazar_tfe;
RAG1	GATA3	pazar	Mus musculus;	Pazar_tfe;
RAG2	GATA3	pazar	Mus musculus;	Pazar_tfe;
TAL1	GATA3	pazar	Homo sapiens	pazar_pleiades;
ADA	GATA4	NfiRegulomeDB	Homo sapiens	;
ALPI	GATA4	Pubmed	Homo sapiens	;17290010
AMH	GATA4	pazar	Homo sapiens	pazar_pleiades_20100814;
CPT1B	GATA4	TRRD	Rattus norvegicus	S9284;
F10	GATA4	pazar	Homo sapiens	pazar_pleiades_20100814;
FABP2	GATA4	Pubmed	Mus musculus;	;17290010
FGF3	GATA4	pazar	Mus musculus;	Pazar_oreganno
GNRH1	GATA4	TRRD	Rattus norvegicus	S4353;
HDC	GATA4	pazar	Homo sapiens	pazar_pleiades_20100814;
HSPA5	GATA4	Pubmed	Mus musculus;	;16452489
LCT	GATA4	pazar	Homo sapiens	
MAFK	GATA4	pazar	Mus musculus;	Pazar_rare;
MYH6	GATA4	pazar	Rattus norvegicus	
NPPA	GATA4	TRRD	Rattus norvegicus	S9359;
SI	GATA4	Pubmed	Mus musculus;	;12060663
STAR	GATA4	TRDD	Mus musculus;	S5190;
TNNC1	GATA4	pazar	Mus musculus	
LCT	GATA5	TRRD	Homo sapiens	S10097;
ABCA3	GATA6	Pubmed	Homo sapiens	;17890326
HDC	GATA6	pazar	Homo sapiens	pazar_pleiades_20100814;
HNF4A	GATA6	pazar	Homo sapiens	pazar_pleiades_20100814;
LCT	GATA6	TRRD	Rattus norvegicus	S10099;
LCT	GATA6	TRRD	Rattus norvegicus	S10099;
MAFK	GATA6	pazar	Mus musculus;	Pazar_rare;
1700080O16RIK	GLI1	Pubmed	Mus musculus;	;19095649
4930523C07RIK	GLI1	Pubmed	Mus musculus;	;19095649
ADAM12	GLI1	Pubmed	Mus musculus;	;19095649
ALCAM	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
AMH	GLI1	Pubmed	Mus musculus;	;12444557
ANGPT4	GLI1	Pubmed	Mus musculus;	;19095649
ARTN	GLI1	Pubmed	Mus musculus;	;19095649
ATG12	GLI1	Pubmed	Mus musculus;	;19095649
BCL2	GLI1	Pubmed	Mus musculus; Homo sapiens	;14555646
CAMK1D	GLI1	Pubmed	Mus musculus;	;19095649
CCND2	GLI1	Pubmed	Homo sapiens	;11719506
CCPG1	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
CDC14A	GLI1	Pubmed	Mus musculus;	;19095649
CLCA1	GLI1	Pubmed	Mus musculus;	;19095649
CLCA2	GLI1	Pubmed	Mus musculus;	;19095649
CLDN2	GLI1	Pubmed	Mus musculus;	;19095649
CNKSR1	GLI1	Pubmed	Mus musculus;	;19095649
CP	GLI1	Pubmed	Mus musculus; Homo sapiens	;11716497
CX3CL1	GLI1	Pubmed	Mus musculus;	;19095649
CXCL14	GLI1	Pubmed	Mus musculus;	;19095649
CXCR4	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
DARS2	GLI1	Pubmed	Homo sapiens	;11719506
DMP1	GLI1	Pubmed	Mus musculus;	;19095649
DNAJB9	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
DNER	GLI1	Pubmed	Mus musculus;	;19095649
DRG2	GLI1	Pubmed	Homo sapiens	;11719506
EFNB2	GLI1	Pubmed	Mus musculus;	;19095649
EGR2	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
EMB	GLI1	Pubmed	Homo sapiens	;11719506
FA2H	GLI1	Pubmed	Mus musculus;	;19095649
FADS2	GLI1	Pubmed	Mus musculus;	;19095649
FBLIM1	GLI1	Pubmed	Mus musculus;	;19095649
FBN2	GLI1	Pubmed	Mus musculus;	;19095649
FGF5	GLI1	Pubmed	Mus musculus;	;19095649
FKBP1A	GLI1	Pubmed	Mus musculus;	;19095649
FMO1	GLI1	Pubmed	Mus musculus;	;19095649;17873912
FOXA1	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
FOXA2	GLI1	Pubmed	Mus musculus;	;12384550;9247260;10433919;9118802
FOXD1	GLI1	Pubmed	Mus musculus;	;12444557
FOXM1	GLI1	Pubmed	Mus musculus;	;12183437
GATM	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
GOSR1	GLI1	Pubmed	Homo sapiens	;11719506
GRHL2	GLI1	Pubmed	Mus musculus;	;19095649
H19	GLI1	Pubmed	Homo sapiens	;11719506
HES1	GLI1	Pubmed	Mus musculus;	;19095649;17873912
HSD11B1	GLI1	Pubmed	Mus musculus;	;19095649
ID4	GLI1	Pubmed	Mus musculus;	;19095649
IGF2	GLI1	Pubmed	Mus musculus;	;12444557
IGFBP6	GLI1	Pubmed	Homo sapiens	;11719506
ITIH3	GLI1	Pubmed	Mus musculus; Homo sapiens	;11716497
JUP	GLI1	Pubmed	Homo sapiens	;11719506
KANK1	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
KIDINS220	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
KREMEN1	GLI1	Pubmed	Mus musculus;	;19095649
LGI2	GLI1	Pubmed	Mus musculus;	;19095649
LHFP	GLI1	Pubmed	Mus musculus;	;19095649
MAP3K12	GLI1	Pubmed	Mus musculus;	;19095649
MCMBP	GLI1	Pubmed	Mus musculus;	;19095649
MGMT	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
MMP13	GLI1	Pubmed	Mus musculus; Homo sapiens	;19095649;14691458
MR1	GLI1	Pubmed	Mus musculus;	;19095649
MTUS1	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
MYC	GLI1	Pubmed	Homo sapiens	;16299030
MYCL1	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
MYF5	GLI1	TRED	Mus musculus	
MYO15A	GLI1	Pubmed	Homo sapiens	;11719506
MYO1E	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
N.A	GLI1	Pubmed	Homo sapiens	;11719506
NKX2-9	GLI1	Pubmed	zebra fish	16888327
NPDC1	GLI1	Pubmed	Homo sapiens	;11719506
NPM1	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
NR1H4	GLI1	Pubmed	Mus musculus;	;19095649
NTRK2	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
NTRK3	GLI1	Pubmed	Mus musculus;	;19095649
PDE4B	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
PDE9A	GLI1	Pubmed	Mus musculus;	;19095649
PF4	GLI1	Pubmed	Mus musculus;	;19095649
PLTP	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
PLXNA2	GLI1	Pubmed	Mus musculus;	;19095649
PRDM8	GLI1	Pubmed	Mus musculus;	;19095649
PRKCH	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
PROKR1	GLI1	Pubmed	Mus musculus;	;19095649
PRPSAP1	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
PTCH1	GLI1	Pubmed	Homo sapiens	;11719506;15087129
RASL11B	GLI1	Pubmed	Mus musculus;	;19095649
RASSF8	GLI1	Pubmed	Mus musculus;	;19095649
RBM24	GLI1	Pubmed	Mus musculus;	;19095649
RBPMS	GLI1	Pubmed	Mus musculus;	;19095649
RGS16	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
RGS4	GLI1	Pubmed	Mus musculus;	;19095649
RRM2B	GLI1	Pubmed	Mus musculus;	;19095649
SCARA5	GLI1	Pubmed	Mus musculus;	;19095649
SCARB1	GLI1	Pubmed	Mus musculus;	;19095649
SEPT7	GLI1	Pubmed	Mus musculus;	;19095649
SFRP1	GLI1	Pubmed	Homo sapiens	;17035233
SFRP2	GLI1	Pubmed	Mus musculus;	;12444557
SGK1	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
SH3GLB1	GLI1	Pubmed	Homo sapiens	;11719506
SHH	GLI1	Pubmed	Mus musculus;	;9247260
SLC19A1	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
SLC7A12	GLI1	Pubmed	Mus musculus;	;19095649
SLIT2	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
SLITRK6	GLI1	Pubmed	Mus musculus;	;19095649
SMOC2	GLI1	Pubmed	Mus musculus;	;19095649
SNAI1	GLI1	Pubmed	Mus musculus;	;16158046
SPAG9	GLI1	Pubmed	Mus musculus;	;19095649
SPP1	GLI1	Pubmed	Homo sapiens	;11719506
STEAP4	GLI1	Pubmed	Mus musculus;	;19095649
STXBP6	GLI1	Pubmed	Mus musculus;	;19095649
SUFU	GLI1	Pubmed	Mus musculus;	;19095649
SYNM	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
TIAM1	GLI1	Pubmed	Mus musculus;	;19095649
TMEM69	GLI1	Pubmed	Mus musculus;	;19095649
TNFAIP6	GLI1	Pubmed	Mus musculus;	;19095649
TNMD	GLI1	Pubmed	Mus musculus;	;19095649
TOM1	GLI1	Pubmed	Homo sapiens	;11719506
TP53	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
